id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,rw,Agus-Sylvi,0.0,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",tiap rw #agussilvy,1
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,dukung,Agus-Sylvi,0.0,maaf,2.0,"[0.9524, 0.0238, 0.0238]",#agussilvy..hayo dukung #aniessandi,1
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,pendukung,Agus-Sylvi,0.0,maaf,2.0,"[0.9524, 0.0238, 0.0238]",ya pendukung #agussilvy..hayo,1
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,#aniessandi,Agus-Sylvi,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",dukung #aniessandi diputaran,1
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,#agussilvy..hayo,Agus-Sylvi,0.0,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy..hayo dukung,1
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,#agussilvy,Agus-Sylvi,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",dukung #agussilvy,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,#ahy,Agus-Sylvi,0.0,pak,5.7,"[0.9828, 0.0086, 0.0086]",@presidensby #ahy kami,0
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,swt,Agus-Sylvi,0.0,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Agus-Sylvi,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,@presidensby,Agus-Sylvi,0.0,pak,5.7,"[0.9828, 0.0086, 0.0086]",@sbyudhoyono @presidensby #ahy,0
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Anies-Sandi,0.317,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,@sbyudhoyono,Agus-Sylvi,0.0,pak,5.7,"[0.9828, 0.0086, 0.0086]",pak @sbyudhoyono @presidensby,0
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,#ahy,Agus-Sylvi,0.2592,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy #sylvi,1
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,kasih,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
9,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,keistiqomahan,Agus-Sylvi,0.0,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
9,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,kasih,Agus-Sylvi,0.0,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
10,Mengenang pidato kekalahan #ahy,pidato,Agus-Sylvi,0.0,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
11,dammnn !! politik cantik #SBY ngorbanin #AHY,cantik,Agus-Sylvi,0.0,politik,-1.0,"[0.0385, 0.1923, 0.7692]",politik cantik #sby,1
11,dammnn !! politik cantik #SBY ngorbanin #AHY,#sby,Agus-Sylvi,0.0,politik,-1.0,"[0.0385, 0.1923, 0.7692]",cantik #sby ngorbanin,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,no.1,Agus-Sylvi,0.0,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada no.1 di,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,kertas,Agus-Sylvi,0.0,ada,4.0,"[0.9756, 0.0122, 0.0122]",di kertas suara,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,nyoblos,Agus-Sylvi,0.0,batal,-5.0,"[0.0098, 0.0098, 0.9804]",batal nyoblos baru,1
13,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,#ahy,Agus-Sylvi,0.0,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",! #ahy,1
13,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,survey,Agus-Sylvi,0.0,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",? survey mu,1
13,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,panggang,Agus-Sylvi,0.0,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",jauh panggang dari,1
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,#ahy,Agus-Sylvi,0.0,kemarin,0.6,"[0.6, 0.35, 0.05]",kemarin #ahy 19april2017,0
15,Karna yang belebihan itu tidak baik ya bah #AHY,#ahy,Agus-Sylvi,0.0,bah,3.0,"[0.9677, 0.0161, 0.0161]",bah #ahy,1
15,Karna yang belebihan itu tidak baik ya bah #AHY,karna,Agus-Sylvi,0.0,baik,-3.0,"[0.0161, 0.0161, 0.9677]",karna yang,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",#ahy,Agus-Sylvi,0.0,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",lepas #ahy kalah,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",sby,Agus-Sylvi,0.0,mau,-5.0,"[0.0098, 0.0098, 0.9804]",bongkar sby,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Agus-Sylvi,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Agus-Sylvi,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,Agus-Sylvi,0.0,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #anisa,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,#fpi,Agus-Sylvi,0.0,suka,3.0,"[0.9677, 0.0161, 0.0161]",pastilah #fpi kan,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Agus-Sylvi,0.0,lari,-2.0,"[0.0238, 0.0238, 0.9524]",otomatis dukungan nya,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,ahok,Ahok-Djarot,0.4602,suka,3.0,"[0.9677, 0.0161, 0.0161]",ama ahok jd,1
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,#hajidjarot,Agus-Sylvi,0.0,cinta,3.0,"[0.9677, 0.0161, 0.0161]",sama #hajidjarot,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,#ahy,Agus-Sylvi,0.0,mirip,1.0,"[0.7692, 0.1923, 0.0385]",mirip #ahy pelan,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,semula,Agus-Sylvi,0.0,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,stickmoticons”,Agus-Sylvi,0.0,mirip,1.0,"[0.7692, 0.1923, 0.0385]",- stickmoticons”,1
22,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,#ahy,Agus-Sylvi,0.0,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",#ahy kalah,1
22,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,#pilgubdki2017,Agus-Sylvi,0.0,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",di #pilgubdki2017 melempem,1
23,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,modal,Agus-Sylvi,0.0,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
23,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,#agusharimurtiyudhoyono,Agus-Sylvi,0.0,kerja,2.0,"[0.9524, 0.0238, 0.0238]",! #agusharimurtiyudhoyono #ahyâ,1
23,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,omongan,Agus-Sylvi,0.0,modal,-2.0,"[0.0238, 0.0238, 0.9524]",modal omongan saja,1
23,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,kerja,Agus-Sylvi,0.0,modal,-2.0,"[0.0238, 0.0238, 0.9524]",tapi kerja nyata,1
24,#ahy pakdhe karwo Pilgub Jatim Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim,karwo,Agus-Sylvi,0.0,pak,-1.5,"[0.0299, 0.0746, 0.8955]",pakdhe karwo pilgub,0
24,#ahy pakdhe karwo Pilgub Jatim Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim,dhe,Agus-Sylvi,0.0,pak,-1.5,"[0.0299, 0.0746, 0.8955]",pak dhe karwo,0
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,#ahy,Agus-Sylvi,0.0,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara #ahy .,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,bumerang,Agus-Sylvi,0.0,gagal,4.0,"[0.9756, 0.0122, 0.0122]",jadi bumerang gagal,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,suara,Agus-Sylvi,0.0,gagal,4.0,"[0.9756, 0.0122, 0.0122]",dapat suara #ahy,1
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,ksatria,Agus-Sylvi,0.0,prajurit,2.0,"[0.9524, 0.0238, 0.0238]",sang ksatria samurai,1
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,pembangun,Agus-Sylvi,0.0,prajurit,2.0,"[0.9524, 0.0238, 0.0238]",prajurit pembangun semangat,1
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,harapan,Agus-Sylvi,0.0,semangat,4.0,"[0.9756, 0.0122, 0.0122]",& harapan pahlawan,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,#ahy,Agus-Sylvi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",ketika #ahy berada,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,rakyat,Agus-Sylvi,0.0,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat .,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,arena,Agus-Sylvi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",luar arena tabir,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,kini,Agus-Sylvi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",kini ketika,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,ketulusan,Agus-Sylvi,0.0,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",mencari ketulusan ?,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,#ahy,Agus-Sylvi,0.0,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,kalo,Agus-Sylvi,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Agus-Sylvi,0.0,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #ahy,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Agus-Sylvi,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Agus-Sylvi,0.0,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
34,Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?,ingusan,Anies-Sandi,0.317,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak ingusan dan,1
34,Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?,mayor,Agus-Sylvi,0.0,anak,-3.0,"[0.0161, 0.0161, 0.9677]",cuma mayor sekarang,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,mekanisme,Agus-Sylvi,0.0,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga mekanisme nya,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,jangan,Agus-Sylvi,0.0,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",jangan curiga,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,#ahy,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa #ahy,1
37,ahoker masih bully #AHY,#ahy,Agus-Sylvi,0.0,bully,-5.0,"[0.0098, 0.0098, 0.9804]",bully #ahy,1
37,ahoker masih bully #AHY,ahoker,Agus-Sylvi,0.0,bully,-5.0,"[0.0098, 0.0098, 0.9804]",ahoker masih,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,pilihan,Agus-Sylvi,0.0,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",itu pilihan #pensiundini,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,lagi2,Agus-Sylvi,0.0,teratas,3.0,"[0.9677, 0.0161, 0.0161]",teratas lagi2 itu,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,mayor,Agus-Sylvi,0.0,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sayang mayor #ahy,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,#pensiundini,Agus-Sylvi,0.0,pilihan,5.0,"[0.9804, 0.0098, 0.0098]",pilihan #pensiundini,1
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,bangett,Agus-Sylvi,0.0,setuju,4.0,"[0.9756, 0.0122, 0.0122]",setuju bangett .,1
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,pembelaan,Agus-Sylvi,0.0,mencari,3.0,"[0.9677, 0.0161, 0.0161]",mencari pembelaan #jangan_sombong,1
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,banjir,Agus-Sylvi,0.0,bersyukur,-5.0,"[0.0098, 0.0098, 0.9804]",tidak banjir sekarang,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,#ahy,Agus-Sylvi,0.0,ngerti,-1.0,"[0.0385, 0.1923, 0.7692]",nya #ahy or,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,dulu,Agus-Sylvi,0.0,ngopi,3.0,"[0.9677, 0.0161, 0.0161]",ngopi dulu gih.,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,rakyat,Agus-Sylvi,0.0,suara,-2.0,"[0.0238, 0.0238, 0.9524]",suara rakyat .,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,suara,Agus-Sylvi,0.0,ngerti,-1.0,"[0.0385, 0.1923, 0.7692]",suara rakyat,1
42,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,#ahy,Agus-Sylvi,0.0,pdhal,-2.0,"[0.0238, 0.0238, 0.9524]",pdhal #ahy sdh,1
42,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,teman,Agus-Sylvi,0.0,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari teman kok,1
42,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,pdhal,Agus-Sylvi,0.0,jelas,1.0,"[0.7692, 0.1923, 0.0385]",pdhal #ahy,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,#ahy,Agus-Sylvi,0.0,ulama,3.0,"[0.9677, 0.0161, 0.0161]",bayaran #ahy,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,kesatria,Anies-Sandi,0.317,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",secara kesatria dan,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,hoax,Agus-Sylvi,0.0,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",ternyata hoax yang,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,ulama,Agus-Sylvi,0.0,menang,4.0,"[0.9756, 0.0122, 0.0122]",banyak ulama bayaran,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,bayaran,Agus-Sylvi,0.0,ulama,3.0,"[0.9677, 0.0161, 0.0161]",ulama bayaran #ahy,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,lapang,Anies-Sandi,0.317,kesatria,2.0,"[0.9524, 0.0238, 0.0238]",dan lapang dada,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,dada,Agus-Sylvi,0.0,lapang,3.0,"[0.9677, 0.0161, 0.0161]",lapang dada ternyata,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,@youtube,Ahok-Djarot,0.4602,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",lewat @youtube #ahok,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,ahok,Ahok-Djarot,0.4602,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",tersingkir ahok &,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,rebutan,Anies-Sandi,0.5368,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",anies rebutan suara,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,agus,Agus-Sylvi,0.5184,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",agus tersingkir,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,kelompok,Agus-Sylvi,0.0,kepentingan,5.0,"[0.9804, 0.0098, 0.0098]",kepentingan kelompok lewat,1
45,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,#ahy,Agus-Sylvi,0.0,kehilangan,-4.0,"[0.0122, 0.0122, 0.9756]",pun #ahy kehilangan,1
45,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,kesempatan,Agus-Sylvi,0.0,kehilangan,-4.0,"[0.0122, 0.0122, 0.9756]",kehilangan kesempatan untuk,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,anies,Anies-Sandi,0.5368,pilih,-2.0,"[0.0238, 0.0238, 0.9524]",pilih anies dengan,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,ahok,Ahok-Djarot,0.4602,mulut,-1.0,"[0.0385, 0.1923, 0.7692]",nya ahok tapi,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,khilafah,Agus-Sylvi,0.0,gerombolan,-4.0,"[0.0122, 0.0122, 0.9756]",gerombolan khilafah dibelakang,1
47,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,teman,Agus-Sylvi,0.0,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari teman ni,1
